Дата/время: Sun Aug 01 16:18:23 MSK 2021, Уровень лога: ERROR, Сообщение: Thread-3
Дата/время: Sun Aug 01 16:19:19 MSK 2021, Уровень лога: TRACE, Сообщение: Thread-1
Дата/время: Sun Aug 01 16:19:20 MSK 2021, Уровень лога: TRACE, Сообщение: Thread-2
Дата/время: Sun Aug 01 16:19:20 MSK 2021, Уровень лога: WARN, Сообщение: Thread-3
Дата/время: Sun Aug 01 16:19:21 MSK 2021, Уровень лога: INFO, Сообщение: Thread-1
Дата/время: Sun Aug 01 16:19:23 MSK 2021, Уровень лога: ERROR, Сообщение: Thread-2
Дата/время: Sun Aug 01 16:19:25 MSK 2021, Уровень лога: WARN, Сообщение: Thread-1
Дата/время: Sun Aug 01 16:19:25 MSK 2021, Уровень лога: TRACE, Сообщение: Thread-1
Дата/время: Sun Aug 01 16:19:25 MSK 2021, Уровень лога: INFO, Сообщение: Thread-3
Дата/время: Sun Aug 01 16:19:26 MSK 2021, Уровень лога: DEBUG, Сообщение: Thread-3
Дата/время: Sun Aug 01 16:19:26 MSK 2021, Уровень лога: ERROR, Сообщение: Thread-1
Дата/время: Sun Aug 01 16:19:27 MSK 2021, Уровень лога: TRACE, Сообщение: Thread-2
Дата/время: Sun Aug 01 16:19:27 MSK 2021, Уровень лога: ERROR, Сообщение: Thread-1
Дата/время: Sun Aug 01 16:19:27 MSK 2021, Уровень лога: TRACE, Сообщение: Thread-3
Дата/время: Sun Aug 01 16:19:29 MSK 2021, Уровень лога: DEBUG, Сообщение: Thread-3
Дата/время: Sun Aug 01 16:19:30 MSK 2021, Уровень лога: ERROR, Сообщение: Thread-2
Дата/время: Sun Aug 01 16:19:31 MSK 2021, Уровень лога: DEBUG, Сообщение: Thread-3
Дата/время: Sun Aug 01 16:19:32 MSK 2021, Уровень лога: WARN, Сообщение: Thread-1
Дата/время: Sun Aug 01 16:19:32 MSK 2021, Уровень лога: DEBUG, Сообщение: Thread-2
Дата/время: Sun Aug 01 16:19:34 MSK 2021, Уровень лога: WARN, Сообщение: Thread-3
Дата/время: Sun Aug 01 16:19:35 MSK 2021, Уровень лога: INFO, Сообщение: Thread-1
Дата/время: Sun Aug 01 16:19:36 MSK 2021, Уровень лога: TRACE, Сообщение: Thread-2
Дата/время: Sun Aug 01 16:19:38 MSK 2021, Уровень лога: WARN, Сообщение: Thread-1
Дата/время: Sun Aug 01 16:19:38 MSK 2021, Уровень лога: INFO, Сообщение: Thread-3
Дата/время: Sun Aug 01 16:19:39 MSK 2021, Уровень лога: DEBUG, Сообщение: Thread-2
Дата/время: Sun Aug 01 16:19:39 MSK 2021, Уровень лога: INFO, Сообщение: Thread-3
Дата/время: Sun Aug 01 16:19:40 MSK 2021, Уровень лога: DEBUG, Сообщение: Thread-1
